tick_id,timestamp,second_bucket,records_in_tick
341,2025-04-22T15:47:41.835966-04:00,2025-04-22T15:47:41,400
342,2025-04-22T15:47:42.019204-04:00,2025-04-22T15:47:42,400
343,2025-04-22T15:47:42.042141-04:00,2025-04-22T15:47:42,400
344,2025-04-22T15:47:42.060093-04:00,2025-04-22T15:47:42,400
345,2025-04-22T15:47:42.342338-04:00,2025-04-22T15:47:42,400
346,2025-04-22T15:47:42.366274-04:00,2025-04-22T15:47:42,400
347,2025-04-22T15:47:42.543800-04:00,2025-04-22T15:47:42,400
348,2025-04-22T15:47:42.847871-04:00,2025-04-22T15:47:42,400
349,2025-04-22T15:47:42.868815-04:00,2025-04-22T15:47:42,400
350,2025-04-22T15:47:43.052324-04:00,2025-04-22T15:47:43,400
351,2025-04-22T15:47:43.072271-04:00,2025-04-22T15:47:43,400
352,2025-04-22T15:47:43.091221-04:00,2025-04-22T15:47:43,400
353,2025-04-22T15:47:43.360110-04:00,2025-04-22T15:47:43,400
354,2025-04-22T15:47:43.379060-04:00,2025-04-22T15:47:43,400
355,2025-04-22T15:47:43.398010-04:00,2025-04-22T15:47:43,400
356,2025-04-22T15:47:43.565115-04:00,2025-04-22T15:47:43,400
357,2025-04-22T15:47:43.869329-04:00,2025-04-22T15:47:43,400
358,2025-04-22T15:47:43.895260-04:00,2025-04-22T15:47:43,400
359,2025-04-22T15:47:43.914209-04:00,2025-04-22T15:47:43,400
360,2025-04-22T15:47:44.105697-04:00,2025-04-22T15:47:44,400
361,2025-04-22T15:47:44.350044-04:00,2025-04-22T15:47:44,400
362,2025-04-22T15:47:44.756467-04:00,2025-04-22T15:47:44,400
363,2025-04-22T15:47:45.684046-04:00,2025-04-22T15:47:45,400
364,2025-04-22T15:47:45.708979-04:00,2025-04-22T15:47:45,400
365,2025-04-22T15:47:45.888925-04:00,2025-04-22T15:47:45,400
366,2025-04-22T15:47:46.201091-04:00,2025-04-22T15:47:46,400
367,2025-04-22T15:47:46.428502-04:00,2025-04-22T15:47:46,400
368,2025-04-22T15:47:46.456429-04:00,2025-04-22T15:47:46,400
369,2025-04-22T15:47:46.748159-04:00,2025-04-22T15:47:46,400
370,2025-04-22T15:47:46.769103-04:00,2025-04-22T15:47:46,400
371,2025-04-22T15:47:46.949621-04:00,2025-04-22T15:47:46,400
372,2025-04-22T15:47:47.253808-04:00,2025-04-22T15:47:47,400
